condition	attention_alpha	top_k_gaze	accuracy_mean	accuracy_mean_delta_vs_baseline	bias_aligned_fraction_mean	bias_aligned_fraction_mean_delta_vs_baseline	bias_aligned_error_rate_mean	bias_aligned_error_rate_mean_delta_vs_baseline	Acc_mean	Acc_mean_delta_vs_baseline	G_Acc_mean	G_Acc_mean_delta_vs_baseline
gaze_top20_alpha2	2.0	20	0.131	0.009500000000000022	0.23725000000000002	0.005500000000000033	0.27301126747615606	0.009236186846274197	0.52975	-0.0009999999999998899	0.021	-0.003999999999999997
gaze_top10_alpha10	10.0	10	0.12925	0.007750000000000021	0.23575	0.0040000000000000036	0.27070179818087453	0.006926717550992667	0.5342500000000001	0.0035000000000001696	0.022	-0.002999999999999999
gaze_top10_alpha1	1.0	10	0.1285	0.00700000000000002	0.23550000000000004	0.003750000000000059	0.2702250974611645	0.006450016831282657	0.53325	0.0025000000000000577	0.023	-0.0019999999999999983
gaze_top10_alpha5	5.0	10	0.12825000000000003	0.006750000000000048	0.24174999999999996	0.009999999999999981	0.27725603243408176	0.013480951804199892	0.5349999999999999	0.004249999999999976	0.027000000000000003	0.0020000000000000052
gaze_top20_alpha1	1.0	20	0.12774999999999997	0.006249999999999992	0.23625000000000002	0.004500000000000032	0.270903371787726	0.0071282911578441355	0.5339999999999999	0.003249999999999975	0.023	-0.0019999999999999983
gaze_top10_alpha0p25	0.25	10	0.127	0.005500000000000019	0.233	0.0012500000000000289	0.26684072976772566	0.0030656491378437956	0.5297499999999999	-0.0010000000000000009	0.024999999999999998	0.0
gaze_top10_alpha2	2.0	10	0.12675	0.0052500000000000185	0.24425	0.012500000000000011	0.27969245060512055	0.015917369975238682	0.5382499999999999	0.007499999999999951	0.027000000000000003	0.0020000000000000052
gaze_top10_alpha0p5	0.5	10	0.1255	0.004000000000000017	0.23700000000000002	0.005250000000000032	0.27096457947080604	0.00718949884092418	0.5345	0.003750000000000031	0.023999999999999997	-0.0010000000000000009
gaze_top1_alpha1	1.0	1	0.12525	0.003750000000000017	0.23725000000000002	0.005500000000000033	0.2711823370315036	0.007407256401621709	0.53175	0.0010000000000000009	0.025	3.469446951953614e-18
gaze_top20_alpha0p25	0.25	20	0.125	0.003500000000000017	0.23275	0.0010000000000000286	0.2659580162404181	0.0021829356105362296	0.536	0.005250000000000088	0.026000000000000002	0.0010000000000000044
